Station,T1 (K),T2 (K),R1,R2,R3,Iterations
270,394.4466577725129,394.3201202891245,14.85093676790992,266.3716122870181,245704.97963486818,2.0
269,395.2219291654886,395.09466361713027,14.775210969955342,263.97272560426717,243728.63704045097,2.0
268,396.06198908745154,395.93393863807535,14.699492255144914,261.2494178028328,241467.71946919948,2.0
267,396.9578239842182,396.82894067611056,14.620281641472626,258.15809488700313,238877.644031709,2.0
266,397.9194911738402,397.7897179637921,14.542648350517279,254.79836609183735,236051.91047806822,2.0
265,398.9345633546525,398.80385520377484,14.459533221828467,251.0767163714262,232898.50721649043,2.0
264,400.00685248034335,399.8751612365442,14.375910019227286,247.08742731776476,229504.1321727548,2.0
263,401.13234109058567,400.9996226699459,14.290520407247019,242.83693015736745,225871.8545305198,2.0
262,402.3125573251419,402.17876651808496,14.196174984113672,238.2321294233328,221913.57387495768,2.0
261,403.546622350378,403.4117153138395,14.102094149094098,233.43546066631842,217778.27125284463,2.0
260,404.8273710853371,404.6913108678578,14.003086514924544,228.39610962989508,213414.85868988925,2.0
259,406.15899515935257,406.02174126348365,13.895341704296143,223.0777954327974,208788.56712454176,2.0
258,407.5365762602027,407.3980931632065,13.781664655476204,217.54474532346555,203956.15105103556,2.0
257,408.96031716501886,408.82056947166257,13.72667363165423,212.82619313302106,199882.39077849043,2.0
256,410.3910405278749,410.2500275957419,13.762040640051046,209.49343368050233,197098.58835239182,2.0
255,411.7894781160292,411.6472331405851,13.798667054982962,206.3108125440069,194437.57710177955,2.0
254,413.1521509914036,413.0087099314706,13.832954637697181,203.22307376437846,191847.46087588754,2.0
253,414.482647931633,414.33804317286956,13.864976287772832,200.2255038078452,189325.44372734125,2.0
252,415.78069042141124,415.63495430459795,13.894837987056825,197.31457871216924,186868.87482264117,2.0
251,417.0472795225046,416.90044320779265,13.922645262912786,194.4866537063481,184475.23914824545,2.0
250,418.28212174149286,418.1342163843701,13.948514426039266,191.73857558243776,182142.14892182237,2.0
249,419.490121089453,419.34117321848464,13.97245451311936,189.0661568598244,179867.33564721196,2.0
248,420.66902424521794,420.51906217876376,13.994617567680427,186.46704998328647,177648.64275732965,2.0
247,421.8210852626842,421.6701350993609,14.015044102591755,183.93801391097193,175484.01879496608,2.0
246,422.9469344128164,422.7950214988636,14.033829593747457,181.47632723779952,173371.51108613462,2.0
245,424.0446627546971,423.8918139257008,14.051088080713,179.0799501967287,171309.25986494301,2.0
244,425.1191604174445,424.9653980234488,14.066813203793991,176.7454867813501,169295.4928128651,2.0
243,426.1704809176821,426.0158271052327,14.08107509776054,174.4707272773879,167328.51997863443,2.0
242,427.19695445782855,427.0414326809781,14.09399443602601,172.25392183891847,165406.72904828333,2.0
241,428.20157449650304,428.0452054446621,14.105574486187392,170.0924447562804,163528.58093737785,2.0
240,429.18232171273473,429.0251276948281,14.115929816468775,167.98480577788692,161692.60568018546,2.0
239,430.14380661592213,429.9858058071746,14.12504487213088,165.9282592393866,159897.39859269842,2.0
238,431.0828360867728,430.92404930597337,14.133018902121156,163.9217210729305,158141.616688435,2.0
237,432.0038484072882,431.84429252490656,14.139845263382936,161.96267108797352,156423.97532785241,2.0
236,432.904534574751,432.7442283510186,14.145643146700461,160.04999596596235,154743.24508370206,2.0
235,433.7861046101916,433.62506565450985,14.15041157786204,158.18196221902753,153098.24880639868,2.0
234,434.6485825161883,434.4868283202809,14.154214926553642,156.35713298757574,151487.85887454383,2.0
233,435.4949395825045,435.3324850061746,14.157054393038086,154.57358922307526,149910.99461719225,2.0
232,436.3232338258045,436.1600953044823,14.159007272806294,152.8303894130682,148366.61989544786,2.0
231,437.1338839584403,436.9700774852132,14.160111774356407,151.12620404779432,146853.7408320143,2.0
230,437.92925289680784,437.7647923791321,14.160375694775583,149.459413250701,145371.40367826595,2.0
229,438.71038009553916,438.54527849241185,14.159819907865717,147.82869762245943,143918.6928092041,2.0
228,439.47552836243807,439.3098000359312,14.158492616286917,146.23327305462888,142494.72883741307,2.0
227,440.22360485403505,440.0572650260434,14.156505357358943,144.672273953532,141098.66683793784,2.0
226,440.9584756972674,440.7915362581594,14.153788380405063,143.14402732226387,139729.6946764584,2.0
225,441.6801882751283,441.5126610231948,14.150379694800948,141.64756893060377,138387.03143386112,2.0
224,442.38215585489394,442.21405809125264,14.146666262997398,140.1830703505898,137069.92592078063,2.0
223,443.08453202036617,442.9158640029439,14.141612709313101,138.74630994142493,135777.65527616258,2.0
222,443.7668402010699,443.5976194040177,14.13634038163683,137.3398275212344,134509.52364438027,2.0
221,444.435436267092,444.265674750632,14.130513509579147,135.9617480369104,133264.86092574822,2.0
220,445.09474366391265,444.92444975355625,14.134359640895553,134.70857109547896,132139.1453032138,2.0
219,445.7385806973396,445.567767741017,14.150254041967475,133.60544499154173,131156.4358866892,2.0
218,446.364173002026,446.1928564932299,14.195780885198712,132.82033961547663,130481.71385062458,2.0
217,446.9721047676075,446.80029941029466,14.230912637267263,131.99178651111484,129760.4498956375,2.0
216,447.55965468719364,447.38737746755976,14.260176616562443,131.1563594966794,129028.17133477722,2.0
215,448.1307555481681,447.95802019009943,14.287701705880115,130.34810261617972,128319.02934760053,2.0
214,448.6846142918342,448.5114351333065,14.319090467007054,129.61647845158046,127681.72934987278,2.0
213,449.22433801516047,449.0507267584551,14.353550240687639,128.9545069261101,127110.0448311758,2.0
212,449.74639857342737,449.57236975629615,14.375787664698343,128.22656569391472,126469.8510071903,2.0
211,450.2545293295763,450.08009447377987,14.396505781410601,127.52137701746878,125849.18153812834,2.0
210,450.7509073020341,450.5760761134593,14.417524194834149,126.85388914288258,125263.19034163746,2.0
209,451.2328344737905,451.0576188433285,14.448986532062131,126.31188937243553,124798.31139384246,2.0
208,451.69984758812666,451.52425965609825,14.464985482996788,125.67492175948584,124236.78086581301,2.0
207,452.1578247082013,451.98187189919395,14.479609245460237,125.0568426868307,123691.94014489537,2.0
206,452.60451756706357,452.4282091232156,14.493300647525478,124.46107367593036,123166.90125369732,2.0
205,453.0375854943818,452.8609325643454,14.519900344510633,124.00381859828299,122776.44072523392,2.0
204,453.4595165079664,453.2825280606738,14.53032799916709,123.4446504574504,122282.97909209048,2.0
203,453.87341077775005,453.69609335969875,14.53948350811556,122.90175433407812,121803.95807264463,2.0
202,454.2782031928744,454.10056421577593,14.548313260236498,122.38172856549359,121345.80803452214,2.0
201,454.6738949372658,454.49594179079264,14.568537500648542,121.98251608396902,121005.73628439593,2.0
200,455.05924423307744,454.8809851981832,14.573870618662776,121.49065134531125,120571.89526012591,2.0
199,455.43480348734806,455.25624649598495,14.57814206990702,121.01333588856392,120150.69336490994,2.0
198,455.8050934938807,455.6262428029907,14.583821743117218,120.57004852420307,119762.14361927274,2.0
197,456.1662470471526,455.9871100147371,14.596808519669793,120.21057306663721,119455.2319528301,2.0
196,456.51949391117626,456.3400768243572,14.597570800922938,119.7779602445031,119074.21791231832,2.0
195,456.86483637771585,456.6851456011824,14.597349692603654,119.35804515742032,118704.38915765219,2.0
194,457.20384136125415,457.0238819878028,14.601099062125074,118.99039728728737,118385.35599363751,2.0
193,457.5358816102295,457.3556591875219,14.606402209287802,118.65779450660779,118099.96074565045,2.0
192,457.8629546067344,457.6824730397324,14.602929337113798,118.27762946725072,117766.27469272974,2.0
191,458.18205583423816,458.00132151624086,14.598605803660666,117.90888801370176,117442.59398089956,2.0
190,458.4963135577653,458.31533035322195,14.60111928793917,117.61300610536145,117190.5815616759,2.0
